id,slug,title,url,sector_clean,country_clean,year_clean,report_type_clean,org_type,assurance_clean,sroi_ratio_value,total_investment_raw,stakeholder_mentions,has_pdf,pdf_extracted,has_text,text_length,p1_involve_stakeholders,p2_understand_changes,p3_value_what_matters,p4_only_material,p5_do_not_overclaim,p6_be_transparent,p7_verify_result,p8_be_responsive,quality_total,quality_pct,is_assured_raw,publication_year_raw
72,youth-justice-cost-benefit-analysis,Reports Database:Youth Justice Cost Benefit Analysis,https://socialvalueuk.org/reports/youth-justice-cost-benefit-analysis/,health,UK,2012,Unknown,government,0,,,0,1,1,1,5000,1,1,1,1,0,2,1,1,8,50.0,0,
73,investing-in-children-technical-report-april-2012,Reports Database:Investing in Children Technical Report April 2012,https://socialvalueuk.org/reports/investing-in-children-technical-report-april-2012/,education,UK,2012,Unknown,government,0,,,0,1,1,1,5000,0,1,0,0,0,1,0,0,2,12.5,0,
74,care-repair-programme-irish-lifeage-action,Reports Database:Care & Repair Programme – Irish Life/Age Action,https://socialvalueuk.org/reports/care-repair-programme-irish-lifeage-action/,elderly,Ireland,2006,Forecast,private,0,,,4,1,1,1,5000,0,1,1,0,0,2,0,1,5,31.2,0,
76,costs-benefits-of-early-years-and-education,Reports Database:Costs & Benefits of Early Years and Education,https://socialvalueuk.org/reports/costs-benefits-of-early-years-and-education/,education,UK,2012,Unknown,government,0,,,0,1,1,1,5000,0,1,1,0,0,2,0,1,5,31.2,0,
77,the-outcomes-and-values-of-souls-advanced-sroi-training-course,Reports Database:The outcomes and values of SOUL’s advanced SROI training course,https://socialvalueuk.org/reports/the-outcomes-and-values-of-souls-advanced-sroi-training-course/,sports,Unknown,2011,Unknown,unknown,1,,,12,1,1,1,5000,2,1,1,2,0,1,0,1,8,50.0,0,
78,the-bridge-project-western-australia-sroi-forecast,Reports Database:The Bridge Project Western Australia SROI Forecast,https://socialvalueuk.org/reports/the-bridge-project-western-australia-sroi-forecast/,other,Australia,2011,Forecast,charity,1,,"investment  of  $608,240",16,1,1,1,5000,2,1,2,1,0,2,0,0,8,50.0,0,
79,scottish-chamber-orchestraa-pilot-primary-school-residency-at-preston-street-primary-school-in-edinburgh,Reports Database:Scottish Chamber Orchestra’a Pilot Primary School Residency at Preston Street Prima,https://socialvalueuk.org/reports/scottish-chamber-orchestraa-pilot-primary-school-residency-at-preston-street-primary-school-in-edinburgh/,education,UK,2012,Unknown,unknown,0,,,6,1,1,1,5000,1,2,1,2,2,2,2,2,14,87.5,0,
80,sroi-forecast-of-phase-1-of-the-vineburgh-development,Reports Database:SROI Forecast of Phase 1 of the Vineburgh Development,https://socialvalueuk.org/reports/sroi-forecast-of-phase-1-of-the-vineburgh-development/,housing,Unknown,2011,Forecast,charity,1,,,24,1,1,1,5000,2,1,1,1,0,1,2,1,9,56.2,0,
81,create-potential-academy-sroi,Reports Database:CREATE Potential Academy SROI,https://socialvalueuk.org/reports/create-potential-academy-sroi/,housing,UK,2012,Forecast,private,1,,,11,1,1,1,5000,2,2,1,2,2,2,2,2,15,93.8,0,
82,crein-sroi-analysis,Reports Database:CREIN SROI Analysis,https://socialvalueuk.org/reports/crein-sroi-analysis/,housing,UK,2011,Unknown,government,1,,,16,1,1,1,5000,2,2,1,2,0,2,0,2,11,68.8,0,
85,action-for-children-impact-report-2012,Reports Database:Action for Children – Impact Report 2012,https://socialvalueuk.org/reports/action-for-children-impact-report-2012/,social_inclusion,UK,2012,Unknown,charity,0,,,0,1,1,1,5000,1,1,1,0,0,1,0,0,4,25.0,0,
86,making-our-communities-better-places,Reports Database:Making Our Communities Better Places,https://socialvalueuk.org/reports/making-our-communities-better-places/,housing,UK,2010,Unknown,charity,1,,"investments of £355,876",9,1,1,1,5000,1,1,1,1,0,0,1,0,5,31.2,1,
87,making-an-impact-a-sroi-study-of-emmaus-uk,Reports Database:Making an Impact: A SROI study of Emmaus UK,https://socialvalueuk.org/reports/making-an-impact-a-sroi-study-of-emmaus-uk/,other,UK,2011,Unknown,unknown,0,,,10,1,1,1,5000,2,2,1,1,0,2,2,2,12,75.0,0,
88,coui-teens-and-toddlers-programme,Reports Database:COUI Teens and Toddlers Programme,https://socialvalueuk.org/reports/coui-teens-and-toddlers-programme/,education,UK,2009,Unknown,charity,0,,,6,1,1,1,5000,1,1,1,0,2,0,2,0,7,43.8,0,
90,the-value-of-early-intervention-identifying-the-social-return-of-barnardos-childrens-centre-services,Reports Database:The Value of Early Intervention: Identifying the Social Return of Barnardo’s Childr,https://socialvalueuk.org/reports/the-value-of-early-intervention-identifying-the-social-return-of-barnardos-childrens-centre-services/,other,UK,2012,Unknown,charity,0,,,1,1,1,1,5000,0,2,1,0,0,0,1,0,4,25.0,0,
91,work-related-learning-programme-run-by-action-for-kids-sroi-report-2012,Reports Database:Work Related Learning Programme run by Action for Kids – SROI Report 2012,https://socialvalueuk.org/reports/work-related-learning-programme-run-by-action-for-kids-sroi-report-2012/,disability,UK,2012,Unknown,charity,0,,"investment of £750,218",11,1,1,1,5000,2,2,1,0,0,1,1,2,9,56.2,0,
92,daycare-trust-parent-champions-liverpool-prototype-project,Reports Database:Daycare Trust Parent Champions Liverpool Prototype Project,https://socialvalueuk.org/reports/daycare-trust-parent-champions-liverpool-prototype-project/,housing,UK,2012,Unknown,private,0,,,11,1,1,1,5000,2,2,2,2,2,2,0,0,12,75.0,0,
96,national-association-of-independent-and-non-maintained-special-schools,Reports Database:National Association of Independent and Non-Maintained Special Schools,https://socialvalueuk.org/reports/national-association-of-independent-and-non-maintained-special-schools/,education,Unknown,2012,Unknown,charity,1,,,0,1,1,1,5000,2,1,1,1,0,1,1,0,7,43.8,1,
97,shelter-scotland-more-than-housing,Reports Database:Shelter Scotland ‘More than housing’,https://socialvalueuk.org/reports/shelter-scotland-more-than-housing/,housing,UK,2011,Unknown,private,1,,,18,1,1,1,5000,2,2,1,1,0,2,0,0,8,50.0,0,
101,galveston-sroi-case-studies,Reports Database:Galveston SROI Case Studies,https://socialvalueuk.org/reports/galveston-sroi-case-studies/,environment,Canada,2012,Unknown,government,0,,,3,1,1,1,5000,1,1,2,1,0,1,1,1,8,50.0,0,
102,sroi-evaluative-analysis-of-introduction-to-supported-employment-program,Reports Database:SROI Evaluative Analysis of Introduction to Supported Employment Program,https://socialvalueuk.org/reports/sroi-evaluative-analysis-of-introduction-to-supported-employment-program/,employment,Unknown,2011,Unknown,government,1,,,6,1,1,1,5000,2,2,1,1,0,1,2,2,11,68.8,0,
104,measuring-social-return-on-investment-for-community-schools-a-case-study,Reports Database:Measuring Social Return on Investment for Community Schools A Case Study,https://socialvalueuk.org/reports/measuring-social-return-on-investment-for-community-schools-a-case-study/,education,USA,2013,Unknown,charity,0,,,1,1,1,1,5000,2,2,2,0,2,1,0,1,10,62.5,0,
105,worth-every-penny-of-every-pound-the-social-value-of-equalities-infrastructure-organisations,Reports Database:Worth Every Penny of Every Pound: The social value of equalities infrastructure org,https://socialvalueuk.org/reports/worth-every-penny-of-every-pound-the-social-value-of-equalities-infrastructure-organisations/,social_inclusion,UK,2011,Unknown,unknown,0,,"investment 

£5.50",1,1,1,1,5000,1,1,1,0,0,1,0,0,4,25.0,0,
106,social-return-on-investment-sroi-of-substance-misuse-work-leicestershire-youth-offending-service,Reports Database:Social Return on Investment (SROI) of Substance Misuse Work Leicestershire Youth Of,https://socialvalueuk.org/reports/social-return-on-investment-sroi-of-substance-misuse-work-leicestershire-youth-offending-service/,youth,UK,2013,Unknown,government,0,,,7,1,1,1,5000,2,2,2,0,2,1,2,2,13,81.2,0,
111,grounded-a-new-approach-to-evaluating-runway-3,Reports Database:Grounded: A  new approach to evaluating Runway 3,https://socialvalueuk.org/reports/grounded-a-new-approach-to-evaluating-runway-3/,sports,UK,2000,Unknown,charity,0,,,6,1,1,1,5000,1,1,0,0,0,2,2,2,8,50.0,0,
113,action-for-children-impact-report-2013,Reports Database:Action for Children – Impact Report 2013,https://socialvalueuk.org/reports/action-for-children-impact-report-2013/,education,UK,2013,Unknown,unknown,0,,,0,1,1,1,5000,0,1,1,0,0,2,1,1,6,37.5,0,
114,galveston-sustainable-return-on-investment,Reports Database:Galveston Sustainable Return on Investment,https://socialvalueuk.org/reports/galveston-sustainable-return-on-investment/,environment,Canada,2012,Unknown,government,0,,,3,1,1,1,5000,1,1,2,1,0,1,1,1,8,50.0,0,
115,social-return-on-investment-forecast-foresters-community-finance,Reports Database:Social Return on Investment Forecast – Foresters Community Finance,https://socialvalueuk.org/reports/social-return-on-investment-forecast-foresters-community-finance/,environment,Australia,2013,Forecast,unknown,0,,,8,1,1,1,5000,2,2,1,1,2,2,2,2,14,87.5,0,
116,demonstrating-value-a-final-report-on-the-community-sector-councils-social-return-on-investment-pilot-project,Reports Database:Demonstrating Value: A final report on the Community Sector Council’s Social Return,https://socialvalueuk.org/reports/demonstrating-value-a-final-report-on-the-community-sector-councils-social-return-on-investment-pilot-project/,other,UK,2013,Unknown,charity,0,,,3,1,1,1,5000,2,1,1,0,0,1,0,0,5,31.2,0,
117,african-australian-inclusion-program-aaip-summary,Reports Database:African Australian Inclusion Program (AAIP) Summary,https://socialvalueuk.org/reports/african-australian-inclusion-program-aaip-summary/,employment,Australia,2009,Unknown,private,0,,"inputs

96",6,1,1,1,4341,2,1,1,0,0,1,0,0,5,31.2,0,
118,twenty-twenty-social-return-on-investment,Reports Database:Twenty Twenty Social Return on Investment,https://socialvalueuk.org/reports/twenty-twenty-social-return-on-investment/,education,Unknown,2012,Unknown,charity,0,,"Investment  

1",11,1,1,1,5000,1,2,2,1,2,1,2,2,13,81.2,0,
120,palestyle-forecast-sroi-report,Reports Database:Palestyle Forecast SROI Report,https://socialvalueuk.org/reports/palestyle-forecast-sroi-report/,housing,USA,2012,Forecast,charity,1,,investment  of  $1,6,1,1,1,5000,2,1,1,1,0,1,2,2,10,62.5,0,
121,sroi-on-quality-checkers-skills-for-people,Reports Database:SROI on Quality Checkers (Skills for People),https://socialvalueuk.org/reports/sroi-on-quality-checkers-skills-for-people/,disability,UK,2008,Unknown,government,1,,,8,1,1,1,5000,2,1,1,0,0,1,0,1,6,37.5,0,
122,sroi-analysis-of-the-plusone-mentoring-programme-executive-summary,Reports Database:SROI analysis of the plusone mentoring programme – Executive Summary,https://socialvalueuk.org/reports/sroi-analysis-of-the-plusone-mentoring-programme-executive-summary/,justice,UK,2011,Unknown,government,0,,,7,1,1,1,5000,1,1,1,0,2,2,1,0,8,50.0,0,
123,sroi-on-dial-a-community-bus-shopping-service,Reports Database:SROI on Dial-A-Community Bus Shopping Service,https://socialvalueuk.org/reports/sroi-on-dial-a-community-bus-shopping-service/,health,UK,2010,Unknown,charity,0,,"Investment 

3",17,1,1,1,5000,1,2,1,1,0,2,1,2,10,62.5,0,
124,atira-property-management-inc-social-return-on-investment-of-hiring-target-employee-group-individuals,Reports Database:Atira Property Management Inc. Social Return on Investment of Hiring Target Employe,https://socialvalueuk.org/reports/atira-property-management-inc-social-return-on-investment-of-hiring-target-employee-group-individuals/,arts_culture,Canada,2012,Forecast,private,0,,"costs
6.3",9,1,1,1,5000,1,2,0,1,0,1,0,0,5,31.2,0,
125,vienna-universtiy-of-economics-and-business-the-good-wood-executive-summary,Reports Database:Vienna Universtiy of Economics and Business – “The Good Wood” Executive Summary,https://socialvalueuk.org/reports/vienna-universtiy-of-economics-and-business-the-good-wood-executive-summary/,employment,Unknown,2007,Unknown,private,0,,,2,1,1,1,4249,1,1,2,0,0,1,0,0,5,31.2,0,
126,vienna-university-of-economics-and-business-footprints-executive-summary,Reports Database:Vienna University of Economics and Business – “Footprints” Executive Summary,https://socialvalueuk.org/reports/vienna-university-of-economics-and-business-footprints-executive-summary/,education,Unknown,2007,Unknown,charity,0,,,3,1,1,1,4335,1,1,2,0,2,1,0,1,8,50.0,0,
127,vienna-university-of-economics-and-business-fire-brigades-in-upper-austria-executive-summary,Reports Database:Vienna University of Economics and Business – “Fire Brigades in Upper Austria” Exec,https://socialvalueuk.org/reports/vienna-university-of-economics-and-business-fire-brigades-in-upper-austria-executive-summary/,housing,USA,2010,Unknown,government,0,,,2,1,1,1,5000,1,1,2,2,0,1,1,0,8,50.0,0,
128,bookstart-investing-in-the-future-of-our-children-executive-summary,Reports Database:BOOKSTART: Investing in the future of our children – Executive Summary,https://socialvalueuk.org/reports/bookstart-investing-in-the-future-of-our-children-executive-summary/,education,UK,2009,Forecast,private,0,,Investment 2009,0,1,1,1,5000,0,1,1,1,0,1,2,1,7,43.8,0,
129,vienna-university-of-economics-and-business-donate-your-washing-machine-executive-summary,Reports Database:Vienna University of Economics and Business – “Donate Your Washing Machine” Executi,https://socialvalueuk.org/reports/vienna-university-of-economics-and-business-donate-your-washing-machine-executive-summary/,employment,USA,2007,Forecast,charity,0,,,3,1,1,1,5000,1,1,1,1,0,1,0,0,5,31.2,0,
130,social-return-on-investment-of-citizens-advice-direct,Reports Database:Social return on Investment of Citizens Advice Direct,https://socialvalueuk.org/reports/social-return-on-investment-of-citizens-advice-direct/,housing,UK,2014,Scoping,charity,1,,"Investment 

6",17,1,1,1,5000,1,1,1,1,0,2,1,0,7,43.8,0,
132,vienna-univeristy-of-economics-and-business-miteinander-leben-executive-summary,Reports Database:Vienna Univeristy of Economics and Business – “Miteinander leben” Executive Summary,https://socialvalueuk.org/reports/vienna-univeristy-of-economics-and-business-miteinander-leben-executive-summary/,housing,USA,2012,Unknown,charity,0,,investments of 1.6,5,1,1,1,5000,1,1,2,1,2,1,2,0,10,62.5,0,
133,vienna-university-of-economics-and-business-initial-housing-aid-executive-summary,Reports Database:Vienna University of Economics and Business – “Initial Housing Aid” Executive Summa,https://socialvalueuk.org/reports/vienna-university-of-economics-and-business-initial-housing-aid-executive-summary/,education,Unknown,2007,Unknown,unknown,0,,,2,1,1,1,3384,1,1,2,0,0,1,2,0,7,43.8,0,
134,foodbank-hunger-report-2014,Reports Database:Foodbank Hunger Report 2014,https://socialvalueuk.org/reports/foodbank-hunger-report-2014/,agriculture_food,Australia,2014,Forecast,charity,0,,,2,1,1,1,5000,1,1,1,0,0,1,0,1,5,31.2,0,2023
