id,slug,title,url,sector_clean,sector_confidence,country_clean,country_confidence,year_clean,year_method,year_confidence,report_type_clean,type_note,type_confidence,assurance_clean,is_assured_raw,sroi_ratio_value,ratio_confidence,total_investment_raw,stakeholder_mentions,has_pdf,has_text,text_length,p1_involve_stakeholders,p2_understand_changes,p3_value_what_matters,p4_only_material,p5_do_not_overclaim,p6_be_transparent,p7_verify_result,p8_be_responsive,quality_total,quality_pct,n_quality_flags
185,hct-grounp-impact-report-201112-changing-environment-changing-impact,"Reports Database:HCT Group Impact Report 2011/12: Changing environment, changing impact",https://socialvalueuk.org/reports/hct-grounp-impact-report-201112-changing-environment-changing-impact/,social_inclusion,MEDIUM,UK,LOW,2011,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,0,1,1,5000,0,1,1,0,0,0,1,0,3,18.8,2
186,futurefirst-annual-review-201213,Reports Database:FutureFirst Annual Review 2012/13,https://socialvalueuk.org/reports/futurefirst-annual-review-201213/,education,MEDIUM,UK,MEDIUM,2012,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,0,1,1,5000,0,1,1,0,0,0,0,1,3,18.8,1
187,collaborating-for-community-impact-our-journey-so-far,Reports Database:Collaborating for Community Impact: Our journey so far,https://socialvalueuk.org/reports/collaborating-for-community-impact-our-journey-so-far/,other,LOW,Unknown,NONE,,scraped_date_fallback,NONE,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,0,1,0,27,,,,,,,,,,,0
188,getting-together-the-impact-of-local-gingerbread-groups-on-single-parent-families-in-england-and-wales,Reports Database:Getting Together: The impact of local Gingerbread groups on single parent families ,https://socialvalueuk.org/reports/getting-together-the-impact-of-local-gingerbread-groups-on-single-parent-families-in-england-and-wales/,housing,MEDIUM,UK,HIGH,2013,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,2,1,1,5000,0,2,1,0,0,1,1,0,5,31.2,2
189,send-a-cow-our-impact,Reports Database:Send a Cow: Our Impact,https://socialvalueuk.org/reports/send-a-cow-our-impact/,agriculture_food,HIGH,Kenya,LOW,2012,modal_3000chars,LOW,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,0,1,1,5000,0,1,0,1,0,1,0,1,4,25.0,3
190,co-operatives-uk-our-impact-in-2013,Reports Database:Co-Operatives UK: Our impact in 2013,https://socialvalueuk.org/reports/co-operatives-uk-our-impact-in-2013/,housing,MEDIUM,UK,HIGH,2013,modal_800chars,LOW,Evaluative,assumed_evaluative,LOW,0,0,,N/A,"investment of £100,000",0,1,1,5000,1,1,1,0,0,0,0,0,3,18.8,1
191,five-lamps-social-impact-report-april-2013-march-2014,Reports Database:Five Lamps Social Impact Report April 2013 – March 2014,https://socialvalueuk.org/reports/five-lamps-social-impact-report-april-2013-march-2014/,employment,MEDIUM,UK,MEDIUM,2013,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,1,1,1,5000,1,1,1,0,0,1,1,0,5,31.2,3
192,achievement-for-all-impact-report-201314,Reports Database:Achievement for All Impact Report 2013/14,https://socialvalueuk.org/reports/achievement-for-all-impact-report-201314/,education,MEDIUM,UK,MEDIUM,2013,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,0,1,1,5000,1,1,1,0,0,1,0,0,4,25.0,3
193,the-outward-bound-trust-impact-report-2009,Reports Database:The Outward Bound Trust Impact Report 2009,https://socialvalueuk.org/reports/the-outward-bound-trust-impact-report-2009/,education,HIGH,UK,MEDIUM,2009,modal_800chars,LOW,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,0,1,1,5000,2,1,0,0,0,1,1,1,6,37.5,2
194,community-investment-by-social-housing-organisations-measuring-the-impact,Reports Database:Community investment by social housing organisations: measuring the impact,https://socialvalueuk.org/reports/community-investment-by-social-housing-organisations-measuring-the-impact/,housing,HIGH,Unknown,NONE,2012,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,0,1,1,5000,1,1,2,0,0,1,0,0,5,31.2,2
195,cornerstone-partnership-social-impact-report,Reports Database:Cornerstone Partnership Social Impact Report,https://socialvalueuk.org/reports/cornerstone-partnership-social-impact-report/,disability,LOW,UK,MEDIUM,2014,modal_800chars,LOW,Evaluative,assumed_evaluative,LOW,0,0,,N/A,"Investment 
$252,207,255",0,1,1,5000,0,1,1,0,0,1,1,0,4,25.0,4
196,unitytrust-bank-our-social-lending-impact-2013,Reports Database:UnityTrust Bank: Our Social Lending Impact 2013,https://socialvalueuk.org/reports/unitytrust-bank-our-social-lending-impact-2013/,housing,LOW,Unknown,NONE,2013,modal_800chars,MEDIUM,Evaluative,assumed_evaluative,LOW,0,0,,N/A,"Investment

2013",1,1,1,5000,0,1,1,0,0,0,1,0,3,18.8,2
197,arc-impact-report-autumn-2014,Reports Database:arc Impact Report Autumn 2014,https://socialvalueuk.org/reports/arc-impact-report-autumn-2014/,employment,MEDIUM,UK,MEDIUM,2014,modal_800chars,LOW,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,0,1,1,5000,0,1,1,0,0,1,1,0,4,25.0,3
198,skillforce-social-impact-report-2013,Reports Database:SkillForce Social Impact Report 2013,https://socialvalueuk.org/reports/skillforce-social-impact-report-2013/,education,HIGH,UK,HIGH,2013,modal_800chars,LOW,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,0,1,1,5000,0,1,0,0,0,0,0,1,2,12.5,1
199,solaraid-impact-report-2014,Reports Database:SolarAid Impact Report 2014,https://socialvalueuk.org/reports/solaraid-impact-report-2014/,education,MEDIUM,UK,LOW,2020,modal_800chars,MEDIUM,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,1,1,1,5000,0,1,0,0,0,1,0,1,3,18.8,2
200,harrogate-ripon-centres-of-voluntary-service-impact-report-2013-2014,Reports Database:Harrogate & Ripon Centres of Voluntary Service Impact Report 2013-2014,https://socialvalueuk.org/reports/harrogate-ripon-centres-of-voluntary-service-impact-report-2013-2014/,health,LOW,UK,MEDIUM,2013,modal_800chars,LOW,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,0,1,1,5000,2,1,1,0,0,1,1,0,6,37.5,3
201,golden-lane-housing-social-impact-report-2014,Reports Database:Golden Lane Housing Social Impact Report 2014,https://socialvalueuk.org/reports/golden-lane-housing-social-impact-report-2014/,disability,LOW,UK,MEDIUM,2014,modal_800chars,MEDIUM,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,1,1,1,5000,1,2,1,1,0,2,0,2,9,56.2,1
202,impact-of-wea-adult-education-2014,Reports Database:Impact of WEA Adult Education 2014,https://socialvalueuk.org/reports/impact-of-wea-adult-education-2014/,education,HIGH,UK,MEDIUM,2014,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,0,1,1,5000,2,1,1,1,0,0,1,1,7,43.8,3
203,unlocking-the-power-together-fairtrade-annual-impact-report,Reports Database:Unlocking the Power Together: Fairtrade Annual Impact Report,https://socialvalueuk.org/reports/unlocking-the-power-together-fairtrade-annual-impact-report/,education,MEDIUM,South Africa,MEDIUM,2013,modal_800chars,MEDIUM,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,0,1,1,5000,0,1,1,0,0,1,0,1,4,25.0,3
204,cambodia-impact-report,Reports Database:Oxfam: Cambodia Impact Report,https://socialvalueuk.org/reports/cambodia-impact-report/,education,LOW,Cambodia,MEDIUM,2014,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,1,1,1,5000,2,1,1,2,0,1,0,2,9,56.2,2
205,exeter-cvs-impact-report-2013-2014,Reports Database:Exeter CVS Impact Report 2013-2014,https://socialvalueuk.org/reports/exeter-cvs-impact-report-2013-2014/,employment,LOW,Unknown,NONE,2013,modal_800chars,LOW,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,1,1,1,5000,2,1,2,1,0,1,1,1,9,56.2,4
206,national-youth-agency-nya-impact-report-2014,Reports Database:National Youth Agency (NYA) Impact Report 2014,https://socialvalueuk.org/reports/national-youth-agency-nya-impact-report-2014/,youth,MEDIUM,UK,MEDIUM,2013,modal_800chars,LOW,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,0,1,1,5000,1,1,0,0,0,1,0,0,3,18.8,3
207,co-operatives-uk-impact-report-2014,Reports Database:Co-Operatives UK Impact Report 2014,https://socialvalueuk.org/reports/co-operatives-uk-impact-report-2014/,employment,MEDIUM,UK,MEDIUM,2014,modal_800chars,MEDIUM,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,0,1,1,5000,1,1,0,0,0,0,1,0,3,18.8,2
208,priced-out-the-plight-of-low-income-families-and-young-people-living-in-fuel-poverty,Reports Database:Priced out: The plight of low income families and young people living in fuel pover,https://socialvalueuk.org/reports/priced-out-the-plight-of-low-income-families-and-young-people-living-in-fuel-poverty/,social_inclusion,MEDIUM,UK,HIGH,2012,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,0,1,1,5000,1,1,0,1,0,2,0,2,7,43.8,2
209,every-night-you-cry-the-realities-of-having-a-parent-in-prison,Reports Database:Every night you cry: The realities of having a parent in prison,https://socialvalueuk.org/reports/every-night-you-cry-the-realities-of-having-a-parent-in-prison/,justice,MEDIUM,UK,HIGH,2009,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,0,1,1,5000,1,1,0,0,0,0,0,0,2,12.5,1
210,hct-group-impact-report-2014-national-vision-local-impact,"Reports Database:HCT Group Impact Report 2014: National Vision, Local Impact",https://socialvalueuk.org/reports/hct-group-impact-report-2014-national-vision-local-impact/,education,MEDIUM,UK,HIGH,2014,modal_800chars,LOW,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,1,1,1,5000,1,1,0,0,0,0,1,1,4,25.0,2
211,reminiscence-arts-and-dementia-care-impact-on-quality-of-life-2012-2015,"Reports Database:Reminiscence Arts and Dementia Care: Impact on Quality of Life, 2012-2015",https://socialvalueuk.org/reports/reminiscence-arts-and-dementia-care-impact-on-quality-of-life-2012-2015/,arts_culture,MEDIUM,UK,MEDIUM,2014,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,,N/A,cost of £26,1,1,1,5000,2,1,1,0,0,1,1,0,6,37.5,3
212,victim-support-impact-report-201314,Reports Database:Victim Support Impact Report 2013/14,https://socialvalueuk.org/reports/victim-support-impact-report-201314/,health,LOW,UK,MEDIUM,2015,explicit_pattern,HIGH,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,1,1,1,5000,1,1,1,0,0,0,0,1,4,25.0,3
213,the-downtown-outreach-addiction-partnership-team-doap-program-the-calgary-alpha-house-society,Reports Database:The Downtown Outreach Addiction Partnership Team (DOAP) Program: The Calgary Alpha ,https://socialvalueuk.org/reports/the-downtown-outreach-addiction-partnership-team-doap-program-the-calgary-alpha-house-society/,health,LOW,Canada,MEDIUM,2013,modal_3000chars,LOW,Evaluative,assumed_evaluative,LOW,0,0,,N/A,,0,1,1,3641,1,2,1,0,0,0,1,0,5,31.2,2
