id,slug,title,url,sector_clean,year_clean,report_type_clean,org_type,assurance_clean,sroi_ratio_value,total_investment_raw,stakeholder_mentions,has_pdf,pdf_extracted,has_text,text_length,p1_involve_stakeholders,p2_understand_changes,p3_value_what_matters,p4_only_material,p5_do_not_overclaim,p6_be_transparent,p7_verify_result,p8_be_responsive,quality_total,quality_pct,is_assured_raw,publication_year_raw,country_clean
307,disaster-preparedness-programmes-in-india-a-cost-benefit-analysis,Reports Database:Disaster preparedness programmes in India: A cost benefit analysis,https://socialvalueuk.org/reports/disaster-preparedness-programmes-in-india-a-cost-benefit-analysis/,housing,2004.0,Unknown,unknown,0,,,1,1,1,1,5000,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,25.0,0,2023.0,UK
308,cost-benefit-analysis-for-community-based-disaster-risk-reduction-in-kailali-nepal,Reports Database:Cost-Benefit Analysis for Community-Based Disaster Risk reduction in Kailali Nepal,https://socialvalueuk.org/reports/cost-benefit-analysis-for-community-based-disaster-risk-reduction-in-kailali-nepal/,education,,Unknown,private,0,,,0,1,1,1,5000,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,25.0,0,2023.0,Nepal
309,social-cost-benefit-analysis-of-delhi-metro,Reports Database:Social Cost-Benefit Analysis of Delhi Metro,https://socialvalueuk.org/reports/social-cost-benefit-analysis-of-delhi-metro/,environment,2006.0,Unknown,government,0,,"Cost 
1995",1,1,1,1,5000,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.5,0,2023.0,India
310,a-cost-benefit-analysis-of-deforestation-on-the-brazilian-amazon,Reports Database:A Cost-Benefit Analysis of Deforestation on the Brazilian Amazon,https://socialvalueuk.org/reports/a-cost-benefit-analysis-of-deforestation-on-the-brazilian-amazon/,agriculture_food,1997.0,Unknown,unknown,0,,,0,1,1,1,5000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,12.5,0,2023.0,Brazil
311,a-cost-benefit-analysis-of-practical-actions-livelihood-centred-disaster-risj-reduction-project-in-nepal,Reports Database:A Cost-Benefit Analysis of Practical Action’s Livelihood-Centred Disaster Risk Redu,https://socialvalueuk.org/reports/a-cost-benefit-analysis-of-practical-actions-livelihood-centred-disaster-risj-reduction-project-in-nepal/,education,2011.0,Unknown,unknown,0,,,2,1,1,1,5000,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,9.0,56.2,0,2023.0,UK
312,investing-in-communities-the-benefits-and-costs-of-building-resilience-for-food-security-in-malawi,Reports Database:Investing in Communities: The benefits and costs of building resilience for food se,https://socialvalueuk.org/reports/investing-in-communities-the-benefits-and-costs-of-building-resilience-for-food-security-in-malawi/,agriculture_food,2010.0,Unknown,unknown,0,,"costs 

5.5",1,1,1,1,5000,2.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,8.0,50.0,0,2023.0,UK
313,a-cost-benefit-analysis-of-the-new-orleans-flood-protection-system,Reports Database:A Cost-Benefit Analysis of the New Orleans Flood Protection System,https://socialvalueuk.org/reports/a-cost-benefit-analysis-of-the-new-orleans-flood-protection-system/,environment,1996.0,Unknown,unknown,0,,,0,1,1,1,5000,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,6.0,37.5,0,2023.0,USA
314,costs-and-benefits-of-flood-mitigation-in-the-lower-bagmati-basin-case-of-nepal-tarai-and-north-bihar,Reports Database:Costs and Benefits of Flood Mitigation in the Lower Bagmati Basin: Case of Nepal Ta,https://socialvalueuk.org/reports/costs-and-benefits-of-flood-mitigation-in-the-lower-bagmati-basin-case-of-nepal-tarai-and-north-bihar/,environment,2008.0,Unknown,government,0,,,0,1,1,1,5000,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,4.0,25.0,0,2023.0,Nepal
315,assessing-quality-and-cost-benefit-a-philippines-case-study,Reports Database:Assessing Quality and Cost Benefit: A Philippines Case Study,https://socialvalueuk.org/reports/assessing-quality-and-cost-benefit-a-philippines-case-study/,education,2006.0,Unknown,government,0,,,0,1,1,1,5000,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,31.2,0,2023.0,Philippines
316,mitigation-of-food-wastage-societal-costs-and-benefits,Reports Database:Mitigation of food wastage: Societal costs and benefits,https://socialvalueuk.org/reports/mitigation-of-food-wastage-societal-costs-and-benefits/,agriculture_food,2013.0,Unknown,unknown,0,,,0,1,1,1,5000,0.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,7.0,43.8,0,2023.0,UK
