id,slug,title,url,sector_clean,country_clean,year_clean,report_type_clean,org_type,assurance_clean,sroi_ratio_value,total_investment_raw,stakeholder_mentions,has_pdf,pdf_extracted,has_text,text_length,p1_involve_stakeholders,p2_understand_changes,p3_value_what_matters,p4_only_material,p5_do_not_overclaim,p6_be_transparent,p7_verify_result,p8_be_responsive,quality_total,quality_pct,is_assured_raw,publication_year_raw
166,secondbite-food-distribution-activities-social-return-on-investment-report,Reports Database:SecondBite Food Distribution Activities: Social Return on Investment Report,https://socialvalueuk.org/reports/secondbite-food-distribution-activities-social-return-on-investment-report/,employment,Australia,2013,Unknown,charity,0,2.75,investment of $3.7,25,1,1,1,5000,1,1,1,0,0,1,0,0,4,25.0,0,2023
172,furnish-sroi-report,Reports Database:Furnish SROI Report,https://socialvalueuk.org/reports/furnish-sroi-report/,social_inclusion,UK,2013,Unknown,charity,0,2.7,,12,1,1,1,5000,2,2,1,0,0,1,1,0,7,43.8,0,2023
99,social-impact-analysis-for-sewa-day-on-7-october-2012,Reports Database:Social Impact Analysis for Sewa Day on 7 October 2012,https://socialvalueuk.org/reports/social-impact-analysis-for-sewa-day-on-7-october-2012/,housing,UK,2012,Unknown,charity,1,2.6,,0,1,1,1,5000,1,1,1,1,0,1,0,0,5,31.2,0,
39,hidden-value-demonstrating-the-extraordinary-impact-of-womens-voluntary-and-community-organisations,Reports Database:Hidden Value: Demonstrating the extraordinary impact of women’s voluntary and commu,https://socialvalueuk.org/reports/hidden-value-demonstrating-the-extraordinary-impact-of-womens-voluntary-and-community-organisations/,employment,UK,2011,Unknown,charity,0,2.2,,5,1,1,1,5000,2,2,1,1,0,1,1,0,8,50.0,0,
165,befriending-at-the-quays-a-social-return-on-investment-analysis,Reports Database:Befriending at the Quays: A Social Return on Investment Analysis,https://socialvalueuk.org/reports/befriending-at-the-quays-a-social-return-on-investment-analysis/,health,UK,2013,Forecast,unknown,0,2.2,"Investment 

2",18,1,1,1,5000,2,2,2,0,0,1,0,2,9,56.2,0,2023
251,the-social-return-on-investment-for-cleanstart,Reports Database:The Social Return On Investment for Cleanstart,https://socialvalueuk.org/reports/the-social-return-on-investment-for-cleanstart/,housing,Unknown,2014,Unknown,government,1,2.02,"Cost 
£409,704",16,1,1,1,5000,2,1,1,2,0,1,2,1,10,62.5,0,2023
110,partnership-brokers-program-baseline-social-return-on-investment-analysis,Reports Database:Partnership Brokers Program – Baseline Social Return on Investment Analysis,https://socialvalueuk.org/reports/partnership-brokers-program-baseline-social-return-on-investment-analysis/,education,Australia,2013,Unknown,charity,0,2.0,"investment  
2010",23,1,1,1,5000,2,1,1,1,0,2,0,0,7,43.8,0,
169,striking-the-right-balance-a-social-return-on-investment-study-of-very-sheltered-housing,Reports Database:Striking the right balance: a social return on investment study of very sheltered h,https://socialvalueuk.org/reports/striking-the-right-balance-a-social-return-on-investment-study-of-very-sheltered-housing/,housing,UK,2000,Unknown,government,0,2.0,investment of £1.50,1,1,1,1,5000,1,1,1,0,0,1,0,2,6,37.5,0,2023
268,the-economic-and-social-impact-of-british-gas-energy-trust,Reports Database:The economic and social impact of British Gas Energy Trust,https://socialvalueuk.org/reports/the-economic-and-social-impact-of-british-gas-energy-trust/,housing,UK,2004,Unknown,unknown,0,1.9,,0,1,1,1,5000,1,2,1,0,2,2,0,0,8,50.0,0,2023
98,evaluation-of-sroi-created-through-gentoo-living-older-person-support-service,Reports Database:Evaluation of SROI created through Gentoo Living Older Person Support Service,https://socialvalueuk.org/reports/evaluation-of-sroi-created-through-gentoo-living-older-person-support-service/,other,UK,2011,Unknown,government,1,1.6,"Investment 
1.6",14,1,1,1,5000,2,2,1,1,2,2,2,2,14,87.5,0,
95,nottingham-city-homes-decent-homes-impact-study,Reports Database:Nottingham City Homes; Decent Homes Impact Study,https://socialvalueuk.org/reports/nottingham-city-homes-decent-homes-impact-study/,health,Unknown,2013,Unknown,unknown,1,1.58,,7,1,1,1,5000,2,2,0,1,0,2,2,0,9,56.2,0,
44,sroi-evaluation-of-supported-apprenticeship-programme,Reports Database:SROI Evaluation of Supported Apprenticeship Programme,https://socialvalueuk.org/reports/sroi-evaluation-of-supported-apprenticeship-programme/,employment,UK,2009,Unknown,unknown,1,1.5,"Investment  
1.5",10,1,1,1,5000,2,2,1,1,2,2,2,2,14,87.5,0,
67,auchinleck-community-development-initiative-sroi-forecast,Reports Database:Auchinleck Community Development Initiative SROI Forecast,https://socialvalueuk.org/reports/auchinleck-community-development-initiative-sroi-forecast/,community,UK,2011,Forecast,unknown,1,1.5,"Investment 
1.5",7,1,1,1,5000,2,2,1,2,1,2,2,2,14,87.5,0,
93,new-barracks-estate-retrofit-post-retrofit-evaluative-sroi,Reports Database:New Barracks Estate Retrofit – Post Retrofit Evaluative SROI,https://socialvalueuk.org/reports/new-barracks-estate-retrofit-post-retrofit-evaluative-sroi/,health,Unknown,2012,Unknown,unknown,0,1.5,"investment  

7.2",11,1,1,1,5000,1,1,2,1,2,2,2,0,11,68.8,0,
5,nef-investing-for-social-value,Reports Database:Investing for Social Value,https://socialvalueuk.org/reports/nef-investing-for-social-value/,health,UK,2000,Unknown,charity,0,1.3,,8,1,1,1,5000,2,1,1,0,0,0,1,2,7,43.8,0,2013
143,the-value-of-business-involvement-in-youth-development,Reports Database:The Value of Business Involvement in Youth Development,https://socialvalueuk.org/reports/the-value-of-business-involvement-in-youth-development/,education,Australia,2013,Unknown,social_enterprise,1,0.83,,10,1,1,1,5000,2,2,2,0,0,1,2,0,9,56.2,0,2023
