id,title,sector,sector_confidence,sector_flag,country,country_confidence,country_flag,year,year_method,year_confidence,year_flag,report_type,type_note,type_confidence,type_flag,sroi_ratio,ratio_confidence,ratio_flag,quality_pct,n_quality_flags,all_flags
116,Reports Database:Demonstrating Value: A final report on the Community Sector Cou,other,LOW,UNCLASSIFIED — manual review needed,UK,LOW,TIED UK/Canada,2013,modal_800chars,LOW,CHECK: only 1 occurrence,Evaluative,assumed_evaluative,LOW,ASSUMED EVALUATIVE — no keyword found,,N/A,,31.2,3,SECTOR: UNCLASSIFIED — manual review needed | COUNTRY: TIED UK/Canada | YEAR: CHECK: only 1 occurrence | TYPE: ASSUMED EVALUATIVE — no keyword found | QUALITY: p2_understand_changes: WEAK — only 1 keyword; may be coincidental | QUALITY: p3_value_what_matters: WEAK — only 1 keyword; may be coincidental | QUALITY: p6_be_transparent: Verify: generic terms may produce false positives
117,Reports Database:African Australian Inclusion Program (AAIP) Summary,employment,MEDIUM,NARROW margin over housing (score diff=1),Australia,MEDIUM,,2013,explicit_pattern,HIGH,,Evaluative,assumed_evaluative,LOW,ASSUMED EVALUATIVE — no keyword found,,N/A,,31.2,2,SECTOR: NARROW margin over housing (score diff=1) | TYPE: ASSUMED EVALUATIVE — no keyword found | QUALITY: p3_value_what_matters: WEAK — only 1 keyword; may be coincidental | QUALITY: p6_be_transparent: WEAK — only 1 keyword; may be coincidental
118,Reports Database:Twenty Twenty Social Return on Investment,education,MEDIUM,NARROW margin over None (score diff=1),Unknown,NONE,UNKNOWN COUNTRY — manual review needed,2012,explicit_pattern,HIGH,,Evaluative,assumed_evaluative,LOW,ASSUMED EVALUATIVE — no keyword found,,N/A,,81.2,3,SECTOR: NARROW margin over None (score diff=1) | COUNTRY: UNKNOWN COUNTRY — manual review needed | TYPE: ASSUMED EVALUATIVE — no keyword found | QUALITY: p1_involve_stakeholders: WEAK — only 1 keyword; may be coincidental | QUALITY: p4_only_material: WEAK — only 1 keyword; may be coincidental | QUALITY: p6_be_transparent: WEAK — only 1 keyword; may be coincidental
120,Reports Database:Palestyle Forecast SROI Report,housing,LOW,TIED between housing and elderly — ambiguous,USA,MEDIUM,NARROW margin (1),2012,modal_800chars,LOW,CHECK: only 1 occurrence,Forecast,keyword_match,MEDIUM,,,N/A,,62.5,3,SECTOR: TIED between housing and elderly — ambiguous | COUNTRY: NARROW margin (1) | YEAR: CHECK: only 1 occurrence | QUALITY: p3_value_what_matters: WEAK — only 1 keyword; may be coincidental | QUALITY: p4_only_material: WEAK — only 1 keyword; may be coincidental | QUALITY: p6_be_transparent: Verify: generic terms may produce false positives
121,Reports Database:SROI on Quality Checkers (Skills for People),disability,MEDIUM,NARROW margin over employment (score diff=1),UK,MEDIUM,NARROW margin (1),2008,explicit_pattern,HIGH,,Evaluative,assumed_evaluative,LOW,ASSUMED EVALUATIVE — no keyword found,,N/A,,37.5,2,SECTOR: NARROW margin over employment (score diff=1) | COUNTRY: NARROW margin (1) | TYPE: ASSUMED EVALUATIVE — no keyword found | QUALITY: p6_be_transparent: Verify: generic terms may produce false positives | QUALITY: p8_be_responsive: WEAK — only 1 keyword; may be coincidental
122,Reports Database:SROI analysis of the plusone mentoring programme – Executive Su,justice,MEDIUM,NARROW margin over education (score diff=1),UK,MEDIUM,,2011,explicit_pattern,HIGH,,Evaluative,assumed_evaluative,LOW,ASSUMED EVALUATIVE — no keyword found,,N/A,,50.0,2,SECTOR: NARROW margin over education (score diff=1) | TYPE: ASSUMED EVALUATIVE — no keyword found | QUALITY: p3_value_what_matters: WEAK — only 1 keyword; may be coincidental | QUALITY: p7_verify_result: WEAK — only 1 keyword; may be coincidental
123,Reports Database:SROI on Dial-A-Community Bus Shopping Service,health,LOW,TIED between health and housing — ambiguous,UK,MEDIUM,,2010,explicit_pattern,HIGH,,Evaluative,keyword_match,MEDIUM,,,N/A,,62.5,4,SECTOR: TIED between health and housing — ambiguous | QUALITY: p1_involve_stakeholders: WEAK — only 1 keyword; may be coincidental | QUALITY: p3_value_what_matters: WEAK — only 1 keyword; may be coincidental | QUALITY: p4_only_material: WEAK — only 1 keyword; may be coincidental | QUALITY: p7_verify_result: WEAK — only 1 keyword; may be coincidental
124,Reports Database:Atira Property Management Inc. Social Return on Investment of H,arts_culture,LOW,TIED between arts_culture and elderly — ambiguous,Canada,MEDIUM,NARROW margin (1),2012,explicit_pattern,HIGH,,Forecast,keyword_match,MEDIUM,,,N/A,,31.2,3,SECTOR: TIED between arts_culture and elderly — ambiguous | COUNTRY: NARROW margin (1) | QUALITY: p1_involve_stakeholders: WEAK — only 1 keyword; may be coincidental | QUALITY: p4_only_material: WEAK — only 1 keyword; may be coincidental | QUALITY: p6_be_transparent: WEAK — only 1 keyword; may be coincidental
125,Reports Database:Vienna Universtiy of Economics and Business – “The Good Wood” E,employment,MEDIUM,,Unknown,NONE,UNKNOWN COUNTRY — manual review needed,2010,modal_800chars,LOW,CHECK: only 1 occurrence,Evaluative,assumed_evaluative,LOW,ASSUMED EVALUATIVE — no keyword found,,N/A,,31.2,1,COUNTRY: UNKNOWN COUNTRY — manual review needed | YEAR: CHECK: only 1 occurrence | TYPE: ASSUMED EVALUATIVE — no keyword found | QUALITY: p6_be_transparent: WEAK — only 1 keyword; may be coincidental
126,Reports Database:Vienna University of Economics and Business – “Footprints” Exec,education,LOW,TIED between education and social_inclusion — ambiguous,Unknown,NONE,UNKNOWN COUNTRY — manual review needed,2011,modal_800chars,LOW,CHECK: only 1 occurrence,Evaluative,assumed_evaluative,LOW,ASSUMED EVALUATIVE — no keyword found,,N/A,,50.0,2,SECTOR: TIED between education and social_inclusion — ambiguous | COUNTRY: UNKNOWN COUNTRY — manual review needed | YEAR: CHECK: only 1 occurrence | TYPE: ASSUMED EVALUATIVE — no keyword found | QUALITY: p6_be_transparent: WEAK — only 1 keyword; may be coincidental | QUALITY: p8_be_responsive: WEAK — only 1 keyword; may be coincidental
